date,close,usd_close,selic
2024-03-08,127071.0,4.9806,11.25
2024-03-07,12834.0,4.935,11.25
2024-03-06,12889.0,4.9446,11.25
2024-03-05,128098.0,4.9581,11.25
2024-03-04,128341.0,4.9458,11.25
2024-03-01,12918.0,4.9541,11.25
2024-02-29,12902.0,4.9716,11.25
2024-02-28,130155.0,4.9675,11.25
2024-02-27,131689.0,4.9335,11.25
2024-02-26,129609.0,4.9799,11.25
2024-02-23,129419.0,4.9951,11.25
2024-02-22,130241.0,4.9605,11.25
2024-02-21,130032.0,4.9358,11.25
2024-02-20,129916.0,4.9275,11.25
2024-02-19,129036.0,4.9564,11.25
2024-02-16,128726.0,4.9665,11.25
2024-02-15,127804.0,4.9732,11.25
2024-02-14,127018.0,4.969,11.25
2024-02-09,128026.0,4.9517,11.25
2024-02-08,128217.0,4.992,11.25
2024-02-07,12995.0,4.9685,11.25
2024-02-06,130416.0,4.9634,11.25
2024-02-05,127593.0,4.9854,11.25
2024-02-02,127182.0,4.9699,11.25
2024-02-01,128481.0,4.9163,11.25
2024-01-31,127752.0,4.9526,11.25
2024-01-30,127402.0,4.9516,11.75
2024-01-29,128503.0,4.9518,11.75
2024-01-26,128967.0,4.9168,11.75
2024-01-25,128169.0,4.9165,11.75
2024-01-24,127816.0,4.9335,11.75
2024-01-23,128263.0,4.9535,11.75
2024-01-22,126602.0,4.9892,11.75
2024-01-19,127636.0,4.931,11.75
2024-01-18,127316.0,4.9269,11.75
2024-01-17,128524.0,4.9349,11.75
2024-01-16,129294.0,4.9258,11.75
2024-01-15,131521.0,4.8628,11.75
2024-01-12,130988.0,4.8539,11.75
2024-01-11,130649.0,4.87,11.75
2024-01-10,130841.0,4.8909,11.75
2024-01-09,131447.0,4.9038,11.75
2024-01-08,132427.0,4.87,11.75
2024-01-05,132023.0,4.8743,11.75
2024-01-04,131226.0,4.8968,11.75
2024-01-03,132834.0,4.9198,11.75
2024-01-02,132697.0,4.9235,11.75
2023-12-28,134185.0,4.8521,11.75
2023-12-27,134194.0,4.8267,11.75
2023-12-26,133533.0,4.814,11.75
2023-12-22,132753.0,4.8585,11.75
2023-12-21,132182.0,4.8844,11.75
2023-12-20,130804.0,4.9163,11.75
2023-12-19,131851.0,4.8675,11.75
2023-12-18,131084.0,4.8967,11.75
2023-12-15,130197.0,4.9371,11.75
2023-12-14,130842.0,4.9155,11.75
2023-12-13,129465.0,4.9197,11.75
2023-12-12,126403.0,4.9631,12.25
2023-12-11,126916.0,4.9386,12.25
2023-12-08,127094.0,4.9317,12.25
2023-12-07,12601.0,4.9115,12.25
2023-12-06,125623.0,4.9022,12.25
2023-12-05,126903.0,4.9306,12.25
2023-12-04,126803.0,4.9432,12.25
2023-12-01,128185.0,4.8801,12.25
2023-11-30,127331.0,4.9205,12.25
2023-11-29,126166.0,4.9029,12.25
2023-11-28,126538.0,4.8705,12.25
2023-11-27,125731.0,4.8964,12.25
2023-11-24,125517.0,4.902,12.25
2023-11-23,126576.0,4.9039,12.25
2023-11-22,126035.0,4.9068,12.25
2023-11-21,125626.0,4.9006,12.25
2023-11-20,125957.0,4.8543,12.25
2023-11-17,124773.0,4.9059,12.25
2023-11-16,124639.0,4.8632,12.25
2023-11-14,123166.0,4.8654,12.25
2023-11-13,12041.0,4.9075,12.25
2023-11-10,120568.0,4.9013,12.25
2023-11-09,119034.0,4.9342,12.25
2023-11-08,119177.0,4.9103,12.25
2023-11-07,119268.0,4.8724,12.25
2023-11-06,118431.0,4.8853,12.25
2023-11-03,11816.0,4.9012,12.25
2023-11-01,115053.0,4.9534,12.25
2023-10-31,113144.0,5.035,12.75
2023-10-30,112532.0,5.0472,12.75
2023-10-27,113301.0,5.0152,12.75
2023-10-26,114777.0,4.9861,12.75
2023-10-25,11283.0,4.9947,12.75
2023-10-24,113762.0,4.9908,12.75
2023-10-23,112785.0,5.0112,12.75
2023-10-20,113155.0,5.0312,12.75
